Year,Month,Algal Biomass
2018,5,2.5775
2018,6,3.8186842105263157
2018,7,7.290916666666666
2018,8,9.185897435897436
2018,9,6.8102222222222215
2018,10,3.9573684210526316
2019,5,10.706296296296296
2019,6,8.914880952380953
2019,7,7.296637931034483
2019,8,13.931875
2019,9,13.769268292682925
2019,10,7.104090909090909
2020,1,2.235625
2020,2,1.5839285714285716
2020,3,1.3118181818181818
2020,6,2.116944444444444
2020,7,4.2085869565217395
2020,8,11.888586956521738
2020,9,9.349583333333333
2020,10,3.145
2020,12,0.7725000000000001
2021,1,0.565625
2021,2,0.5275
2021,3,0.9022727272727273
2021,4,2.28375
2021,5,3.85125
2021,6,2.736470588235294
2021,7,3.7270000000000003
2021,8,9.228000000000002
2021,9,12.627222222222223
2021,10,2.663
2022,5,4.825
2022,6,3.5627272727272725
2022,7,5.050862068965517
2022,8,9.096724137931036
2022,9,7.01825
2022,10,5.14125
